date,state,disease,value
2024-09-28T00:00:00.000,Pennsylvania,value,688.0
2025-10-04T00:00:00.000,NA,COVID-19,351.0
2025-10-04T00:00:00.000,NA,Influenza,13.0
2025-10-04T00:00:00.000,NA,value,351.0
2025-10-11T00:00:00.000,NA,COVID-19,294.0
2025-10-11T00:00:00.000,NA,Influenza,13.0
2025-10-11T00:00:00.000,NA,value,294.0
2025-10-18T00:00:00.000,NA,COVID-19,245.0
2025-10-18T00:00:00.000,NA,Influenza,20.0
2025-10-18T00:00:00.000,NA,value,245.0
2025-10-25T00:00:00.000,NA,COVID-19,185.0
2025-10-25T00:00:00.000,NA,Influenza,23.0
2025-10-25T00:00:00.000,NA,value,185.0
2025-11-01T00:00:00.000,NA,COVID-19,154.0
2025-11-01T00:00:00.000,NA,Influenza,28.0
2025-11-01T00:00:00.000,NA,value,154.0
2025-11-08T00:00:00.000,NA,COVID-19,132.0
2025-11-08T00:00:00.000,NA,Influenza,45.0
2025-11-08T00:00:00.000,NA,value,132.0
2025-11-15T00:00:00.000,NA,COVID-19,124.0
2025-11-15T00:00:00.000,NA,Influenza,42.0
2025-11-15T00:00:00.000,NA,value,124.0
2025-11-22T00:00:00.000,NA,COVID-19,92.0
2025-11-22T00:00:00.000,NA,Influenza,87.0
2025-11-22T00:00:00.000,NA,value,92.0
2025-11-29T00:00:00.000,NA,COVID-19,105.0
2025-11-29T00:00:00.000,NA,Influenza,102.0
2025-11-29T00:00:00.000,NA,value,105.0
2025-12-06T00:00:00.000,NA,COVID-19,108.0
2025-12-06T00:00:00.000,NA,Influenza,160.0
2025-12-06T00:00:00.000,NA,value,108.0
2025-12-13T00:00:00.000,NA,COVID-19,82.0
2025-12-13T00:00:00.000,NA,Influenza,147.0
2025-12-13T00:00:00.000,NA,value,82.0
2025-12-20T00:00:00.000,NA,COVID-19,86.0
2025-12-20T00:00:00.000,NA,Influenza,320.0
2025-12-20T00:00:00.000,NA,value,86.0
2025-12-27T00:00:00.000,NA,COVID-19,117.0
2025-12-27T00:00:00.000,NA,Influenza,610.0
2025-12-27T00:00:00.000,NA,value,117.0
2026-01-03T00:00:00.000,NA,COVID-19,126.0
2026-01-03T00:00:00.000,NA,Influenza,758.0
2026-01-03T00:00:00.000,NA,value,126.0
2026-01-10T00:00:00.000,NA,COVID-19,115.0
2026-01-10T00:00:00.000,NA,Influenza,634.0
2026-01-10T00:00:00.000,NA,value,115.0
2026-01-17T00:00:00.000,NA,COVID-19,93.0
2026-01-17T00:00:00.000,NA,Influenza,564.0
2026-01-17T00:00:00.000,NA,value,93.0
2026-01-24T00:00:00.000,NA,COVID-19,101.0
2026-01-24T00:00:00.000,NA,Influenza,580.0
2026-01-24T00:00:00.000,NA,value,101.0
2026-01-31T00:00:00.000,NA,COVID-19,128.0
2026-01-31T00:00:00.000,NA,Influenza,783.0
2026-01-31T00:00:00.000,NA,value,128.0
2026-02-07T00:00:00.000,NA,COVID-19,103.0
2026-02-07T00:00:00.000,NA,Influenza,880.0
2026-02-07T00:00:00.000,NA,value,103.0
2024-09-21T00:00:00.000,NA,COVID-19,614.0
2024-09-21T00:00:00.000,NA,Influenza,36.0
2024-09-21T00:00:00.000,NA,value,614.0
2024-09-28T00:00:00.000,NA,COVID-19,562.0
2024-09-28T00:00:00.000,NA,Influenza,16.0
2024-09-28T00:00:00.000,NA,value,562.0
2024-10-05T00:00:00.000,NA,COVID-19,471.0
2024-10-05T00:00:00.000,NA,Influenza,27.0
2024-10-05T00:00:00.000,NA,value,471.0
2024-10-12T00:00:00.000,NA,COVID-19,64.0
2024-10-12T00:00:00.000,NA,Influenza,9.0
2024-10-12T00:00:00.000,NA,value,64.0
2024-10-19T00:00:00.000,NA,COVID-19,132.0
2024-10-19T00:00:00.000,NA,Influenza,11.0
2024-10-19T00:00:00.000,NA,value,132.0
2024-10-26T00:00:00.000,NA,COVID-19,122.0
2024-10-26T00:00:00.000,NA,Influenza,24.0
