date,state,disease,value
2024-09-22,Arizona,Influenza,1.1707
2024-09-22,Arkansas,COVID-19,0.8195
2024-09-22,Arkansas,Influenza,0.9638
2024-09-22,California,COVID-19,0.8979
2024-09-22,California,Influenza,1.0013
2024-09-22,Colorado,COVID-19,0.9296
2024-09-22,Colorado,Influenza,1.1072
2024-09-22,Connecticut,COVID-19,0.8528
2024-09-22,Connecticut,Influenza,1.1023
2024-09-22,Delaware,COVID-19,0.8241
2024-09-22,Delaware,Influenza,NA
2024-09-22,District of Columbia,COVID-19,0.8693
2024-09-22,District of Columbia,Influenza,NA
2024-09-22,Florida,COVID-19,0.8137
2024-09-22,Florida,Influenza,0.9951
2024-09-22,Georgia,COVID-19,0.8024
2024-09-22,Georgia,Influenza,0.9789
2024-09-22,Hawaii,COVID-19,0.8794
2024-09-22,Hawaii,Influenza,0.9282
2024-09-22,Idaho,COVID-19,0.8553
2024-09-22,Idaho,Influenza,1.0484
2024-09-22,Illinois,COVID-19,0.8508
2024-09-22,Illinois,Influenza,1.0774
2024-09-22,Indiana,COVID-19,0.8543
2024-09-22,Indiana,Influenza,1.0374
2024-09-22,Iowa,COVID-19,0.8152
2024-09-22,Iowa,Influenza,0.9196
2024-09-22,Kansas,COVID-19,0.919
2024-09-22,Kansas,Influenza,0.9873
2024-09-22,Kentucky,COVID-19,NA
2024-09-22,Kentucky,Influenza,NA
2024-09-22,Louisiana,COVID-19,0.8434
2024-09-22,Louisiana,Influenza,0.9455
2024-09-22,Maine,COVID-19,0.892
2024-09-22,Maine,Influenza,NA
2024-09-22,Maryland,COVID-19,NA
2024-09-22,Maryland,Influenza,NA
2024-09-22,Massachusetts,COVID-19,0.8687
2024-09-22,Massachusetts,Influenza,1.0825
2024-09-22,Michigan,COVID-19,0.8442
2024-09-22,Michigan,Influenza,1.0078
2024-09-22,Minnesota,COVID-19,0.8798
2024-09-22,Minnesota,Influenza,0.9933
2024-09-22,Mississippi,COVID-19,0.8597
2024-09-22,Mississippi,Influenza,1.0487
2024-09-22,Missouri,COVID-19,NA
2024-09-22,Missouri,Influenza,NA
2024-09-22,Montana,COVID-19,0.9194
2024-09-22,Montana,Influenza,NA
2024-09-22,Nebraska,COVID-19,0.9031
2024-09-22,Nebraska,Influenza,NA
2024-09-22,Nevada,COVID-19,0.8542
2024-09-22,Nevada,Influenza,1.0094
2024-09-22,New Hampshire,COVID-19,0.9408
2024-09-22,New Hampshire,Influenza,1.0365
2024-09-22,New Jersey,COVID-19,0.8346
2024-09-22,New Jersey,Influenza,0.9942
2024-09-22,New Mexico,COVID-19,0.9746
2024-09-22,New Mexico,Influenza,1.048
2024-09-22,New York,COVID-19,0.8285
2024-09-22,New York,Influenza,0.946
2024-09-22,North Carolina,COVID-19,0.803
2024-09-22,North Carolina,Influenza,0.9399
2024-09-22,North Dakota,COVID-19,0.9433
2024-09-22,North Dakota,Influenza,NA
2024-09-22,Ohio,COVID-19,0.7629
2024-09-22,Ohio,Influenza,1.0012
2024-09-22,Oklahoma,COVID-19,0.8882
2024-09-22,Oklahoma,Influenza,1.0211
2024-09-22,Oregon,COVID-19,0.8677
2024-09-22,Oregon,Influenza,1.0369
2024-09-22,Pennsylvania,COVID-19,0.8033
2024-09-22,Pennsylvania,Influenza,1.0103
2024-09-22,Rhode Island,COVID-19,0.9247
2024-09-22,Rhode Island,Influenza,NA
2024-09-22,South Carolina,COVID-19,0.8113
2024-09-22,South Carolina,Influenza,1.0446
2024-09-22,South Dakota,COVID-19,0.9083
2024-09-22,South Dakota,Influenza,NA
2024-09-22,Tennessee,COVID-19,0.8317
2024-09-22,Tennessee,Influenza,1.0325
2024-09-22,Texas,COVID-19,0.8473
2024-09-22,Texas,Influenza,1.0017
2024-09-22,United States,COVID-19,0.8799
2024-09-22,United States,Influenza,0.9916
2024-09-22,Utah,COVID-19,0.8745
2024-09-22,Utah,Influenza,1.0001
2024-09-22,Vermont,COVID-19,0.8923
2024-09-22,Vermont,Influenza,NA
2024-09-22,Virginia,COVID-19,0.8198
2024-09-22,Virginia,Influenza,1.0255
2024-09-22,Washington,COVID-19,0.8889
2024-09-22,Washington,Influenza,1.0471
2024-09-22,West Virginia,COVID-19,0.791
2024-09-22,West Virginia,Influenza,1.0646
2024-09-22,Wisconsin,COVID-19,NA
2024-09-22,Wisconsin,Influenza,NA
2024-09-22,Wyoming,COVID-19,NA
2024-09-22,Wyoming,Influenza,NA
2024-09-23,Alabama,COVID-19,0.9256
2024-09-23,Alabama,Influenza,1.0273
2024-09-23,Alaska,COVID-19,0.8321
2024-09-23,Alaska,Influenza,0.901
2024-09-23,Arizona,COVID-19,0.9468
2024-09-23,Arizona,Influenza,1.171
2024-09-23,Arkansas,COVID-19,0.8286
2024-09-23,Arkansas,Influenza,0.9639
2024-09-23,California,COVID-19,0.8998
2024-09-23,California,Influenza,1.0033
2024-09-23,Colorado,COVID-19,0.9305
2024-09-23,Colorado,Influenza,1.1103
2024-09-23,Connecticut,COVID-19,0.8601
2024-09-23,Connecticut,Influenza,1.103
2024-09-23,Delaware,COVID-19,0.8281
2024-09-23,Delaware,Influenza,NA
2024-09-23,District of Columbia,COVID-19,0.871
2024-09-23,District of Columbia,Influenza,NA
2024-09-23,Florida,COVID-19,0.8222
2024-09-23,Florida,Influenza,0.995
2024-09-23,Georgia,COVID-19,0.8141
2024-09-23,Georgia,Influenza,0.9822
2024-09-23,Hawaii,COVID-19,0.8805
2024-09-23,Hawaii,Influenza,0.9278
2024-09-23,Idaho,COVID-19,0.8574
2024-09-23,Idaho,Influenza,1.0494
2024-09-23,Illinois,COVID-19,0.8567
2024-09-23,Illinois,Influenza,1.0778
2024-09-23,Indiana,COVID-19,0.8613
2024-09-23,Indiana,Influenza,1.0374
2024-09-23,Iowa,COVID-19,0.8211
2024-09-23,Iowa,Influenza,0.9206
2024-09-23,Kansas,COVID-19,0.9204
2024-09-23,Kansas,Influenza,0.9886
2024-09-23,Kentucky,COVID-19,NA
2024-09-23,Kentucky,Influenza,NA
2024-09-23,Louisiana,COVID-19,0.8501
2024-09-23,Louisiana,Influenza,0.9518
2024-09-23,Maine,COVID-19,0.8949
2024-09-23,Maine,Influenza,NA
2024-09-23,Maryland,COVID-19,NA
2024-09-23,Maryland,Influenza,NA
2024-09-23,Massachusetts,COVID-19,0.8728
2024-09-23,Massachusetts,Influenza,1.0834
2024-09-23,Michigan,COVID-19,0.8517
2024-09-23,Michigan,Influenza,1.0104
2024-09-23,Minnesota,COVID-19,0.8841
2024-09-23,Minnesota,Influenza,0.992
2024-09-23,Mississippi,COVID-19,0.8646
2024-09-23,Mississippi,Influenza,1.0484
2024-09-23,Missouri,COVID-19,NA
2024-09-23,Missouri,Influenza,NA
2024-09-23,Montana,COVID-19,0.9195
2024-09-23,Montana,Influenza,NA
2024-09-23,Nebraska,COVID-19,0.9053
2024-09-23,Nebraska,Influenza,NA
2024-09-23,Nevada,COVID-19,0.8565
2024-09-23,Nevada,Influenza,1.0099
2024-09-23,New Hampshire,COVID-19,0.9405
2024-09-23,New Hampshire,Influenza,1.0362
2024-09-23,New Jersey,COVID-19,0.8387
2024-09-23,New Jersey,Influenza,0.9935
2024-09-23,New Mexico,COVID-19,0.9754
2024-09-23,New Mexico,Influenza,1.0487
2024-09-23,New York,COVID-19,0.8336
2024-09-23,New York,Influenza,0.9509
2024-09-23,North Carolina,COVID-19,0.8114
